title,average rating
Garena Free Fire - The Cobra,4.33
PUBG MOBILE: Graffiti Prank,4.24
Mobile Legends: Bang Bang,4.08
Brawl Stars,4.27
Sniper 3D: Fun Free Online FPS Shooting Game,4.33
Shadow Fight 2,4.57
Call of Duty®: Mobile - Day of Reckoning,4.47
Among Us,3.65
Temple Run 2,4.21
PUBG MOBILE LITE,4.16
slither.io,4.07
Gangstar Vegas: World of Crime,4.3
Pixel Gun 3D: FPS Shooter & Battle Royale,4.15
Bowmasters,4.55
Standoff 2,4.54
Crossy Road,4.54
Banana Kong,4.57
Garena Liên Quân Mobile,4.11
Helix Jump,4.07
War Robots. 6v6 Tactical Multiplayer Battles,4
MORTAL KOMBAT: The Ultimate Fighting Game!,4.21
Agar.io,3.93
Last Day on Earth: Survival,4.38
DEER HUNTER CLASSIC,4.39
Modern Combat 5: eSports FPS,4.22
Kick the Buddy,4.1
DEAD TRIGGER 2 - Zombie Game FPS shooter,4.49
Marvel Contest of Champions,4.2
Mini Militia - Doodle Army 2,4.14
Garena RoV: Songkran,4.37
CATS: Crash Arena Turbo Stars,4.36
Call of Duty®: Mobile - Garena,4.23
Injustice: Gods Among Us,4.38
Swamp Attack,4.47
GUNSHIP BATTLE: Helicopter 3D,4.16
Real Steel World Robot Boxing,4.5
World War Heroes: WW2 FPS,4.49
Critical Ops: Online Multiplayer FPS Shooting Game,4.23
A LINE Rangers/Crayon Shinchan tower defense RPG!,4.35
Six-Guns: Gang Showdown,4.11
Cover Fire: Offline Shooting Games,4.53
DEAD TARGET: Zombie Offline - Shooting Games,4.42
FRONTLINE COMMANDO: D-DAY,3.9
Worms Zone .io - Voracious Snake,4.3
Mario Kart Tour,4.12
Gods of Boom - Online PvP Action,4.01
RULES OF SURVIVAL,3.92
Hunter Assassin,4.2
Zombie Catchers - love the hunt!,4.44
Into the Dead,4.53
Respawnables – Online PVP Battles,4.21
Modern Strike Online: Free PvP FPS shooting game,4.38
Block Strike,4.11
Blitz Brigade - Online FPS fun,3.93
